15-60,14-59
32-80,17-79
47-80,79-80
64-64,12-63
93-93,8-92
35-41,34-41
7-52,7-8
28-95,28-94
43-99,2-43
74-77,75-78
44-98,55-69
2-52,53-53
71-73,71-72
35-49,48-49
84-85,22-85
88-90,7-89
18-85,5-85
4-4,3-82
22-79,21-79
6-6,6-84
61-84,61-84
66-95,16-94
12-46,47-47
93-93,55-93
23-95,22-99
16-16,16-58
67-81,65-80
58-66,24-66
39-46,47-79
9-9,9-89
18-89,19-68
4-89,10-47
5-79,3-5
12-90,20-91
78-83,79-89
6-80,5-81
37-98,37-38
33-98,32-97
42-78,41-43
31-97,2-98
24-72,23-73
6-88,5-29
80-93,81-94
5-85,4-84
21-81,4-89
45-84,22-44
57-80,81-81
46-76,47-77
22-32,21-72
5-29,4-29
11-78,10-78
61-62,61-92
17-24,18-24
57-93,56-97
1-98,4-50
5-5,5-42
10-92,10-11
8-86,22-87
10-52,9-9
3-13,10-14
1-46,3-56
85-85,7-84
88-89,88-96
1-93,1-93
58-71,53-60
79-96,30-79
5-56,5-57
42-98,41-99
3-97,96-97
55-65,54-56
73-93,93-94
18-98,99-99
2-57,1-69
41-42,41-77
10-51,50-52
73-73,73-89
31-91,31-31
6-27,6-61
1-1,1-84
21-56,57-57
30-31,30-31
24-72,16-72
59-65,56-65
18-18,17-99
87-87,32-88
30-30,30-60
12-95,13-95
29-66,6-65
2-52,2-53
93-93,2-93
2-98,3-3
19-90,15-18
12-83,3-13
21-99,22-22
5-54,5-54
43-73,44-73
15-26,7-25
52-94,53-95
67-68,2-67
2-92,91-92
72-91,73-78
20-87,21-87
27-56,10-56
20-88,89-89
5-90,10-90
11-20,12-21
4-86,4-86
44-46,45-98
10-11,10-63
8-9,13-98
23-46,23-61
71-87,15-86
33-40,19-39
7-93,8-93
18-18,17-76
3-58,8-59
42-94,42-42
12-86,44-87
20-93,93-96
12-54,13-36
41-77,41-76
20-20,19-96
13-91,12-90
3-98,4-4
6-67,6-66
25-61,30-54
61-61,15-61
24-81,24-24
45-69,46-68
56-66,52-98
50-67,59-68
2-97,3-72
33-79,34-51
56-92,55-91
3-69,1-68
34-34,33-34
93-93,48-92
22-69,21-30
2-7,16-83
87-95,19-88
93-98,94-97
42-95,43-95
6-7,6-83
23-95,19-86
30-94,19-98
59-94,14-95
24-84,24-83
31-36,32-35
20-57,21-57
2-46,2-2
9-44,6-9
25-64,26-65
21-96,43-97
1-5,4-50
58-72,57-59
96-97,22-96
3-63,31-64
18-67,16-16
38-42,37-43
9-18,18-82
53-59,52-52
6-99,6-6
56-89,89-97
88-90,13-89
24-26,25-85
46-87,30-45
63-64,18-64
12-94,9-13
51-98,50-50
8-18,7-17
25-25,25-32
5-39,39-40
7-18,7-7
23-65,65-94
17-43,16-44
32-91,90-90
3-5,2-5
28-39,27-42
12-13,12-65
2-91,48-92
93-98,72-87
31-43,31-42
12-69,12-59
2-14,14-81
17-89,17-90
20-37,38-62
6-36,3-22
6-97,5-7
71-81,8-77
18-61,61-84
86-86,22-85
9-27,12-79
1-46,8-47
12-85,85-98
57-66,58-65
62-97,3-99
5-80,6-20
39-88,38-88
54-63,13-64
17-40,39-57
9-99,10-82
24-37,24-24
64-81,65-81
2-47,48-48
5-6,6-6
26-42,38-91
17-81,80-81
4-7,5-8
23-43,23-34
98-99,3-97
43-75,74-75
58-78,18-78
60-78,60-78
10-95,88-96
77-78,20-78
36-70,36-57
19-65,20-66
1-3,3-15
1-5,5-47
23-80,22-22
38-73,29-38
41-41,40-57
8-96,9-89
28-28,29-96
22-85,85-97
20-92,21-92
35-53,54-54
45-49,47-48
20-90,82-91
38-92,37-93
1-64,55-62
56-75,32-55
13-98,14-92
4-16,3-16
52-75,52-74
1-86,1-87
12-81,12-82
35-36,35-97
9-67,67-68
14-97,13-14
6-6,5-69
73-90,48-95
24-27,26-28
25-52,26-50
75-75,75-98
22-96,7-18
60-88,60-89
47-49,8-48
19-44,36-67
4-5,9-96
30-74,75-75
10-10,11-77
47-79,80-80
12-68,12-69
38-79,52-91
29-30,4-29
