seeds: 929142010 467769747 2497466808 210166838 3768123711 33216796 1609270159 86969850 199555506 378609832 1840685500 314009711 1740069852 36868255 2161129344 170490105 2869967743 265455365 3984276455 31190888

seed-to-soil map:
3788621315 24578909 268976974
3633843608 2672619957 154777707
1562003446 2827397664 767899879
2618130896 293555883 1015712712
178572254 3595297543 462300746
640873000 1553961386 921130446
2373438105 1435027522 118933864
2492371969 1309268595 125758927
2329903325 2629085177 43534780
24578909 2475091832 153993345

soil-to-fertilizer map:
3438795585 3489901885 246180709
2207634271 2882741084 20404178
2921657379 3093830975 5578539
3684976294 494116589 47356386
3924272359 3740035076 65483093
501906244 2178419272 30310459
1234683323 1988217660 166809869
1901474422 3380297447 5929907
1561485292 902794130 43191607
3740035076 4064176085 35875061
1756130945 2337296126 107889556
1631134020 2212299201 124996925
3775910137 4100051146 148362222
1907404329 355795024 25976339
98608320 1132323727 78740039
177348359 323563608 17306027
3181146272 2546033985 176714999
1135867625 395300891 98815698
1604676899 381771363 13529528
1062398411 3348792067 31505380
1933380668 1211063766 135031541
4152704827 4248413368 14047124
2231607919 3386227354 49301269
2068412209 1349845221 139222062
1618206427 0 12927593
4166751951 3935960740 128215345
4055852131 3871614848 64345892
1093903791 340869635 14925389
2280909188 93861907 229701701
252523691 3099409514 249382553
194654386 640081295 34477562
2228038449 2208729731 3569470
2927235918 674558857 8851379
3989755452 3805518169 66096679
3732332680 1346095307 3749914
229131948 2155027529 23391743
1108829180 945985737 27038445
2510610889 683410236 219383894
2729994783 973024182 159299545
2936087297 2903145262 190685713
2889294328 1489067283 32363051
4120198023 4262460492 32506804
633065006 1558884255 429333405
3126773010 3435528623 54373262
0 541472975 98608320
3357861271 12927593 80934314
532216703 2445185682 100848303
1401493192 2722748984 159992100
1864020501 1521430334 37453921

fertilizer-to-water map:
1947541026 454827174 151424508
2368626375 2974348911 49282632
1180361458 1899400011 39609082
680762316 1808139816 91260195
3146089823 3660401583 124406340
1750346896 411180537 43646637
812988815 228261758 177656250
1318675555 1023120195 274976204
1593651759 866425058 156695137
3971733879 2669799085 75517075
3655228757 4176552157 118415139
3441507492 3915100392 170047342
3888713098 2412300298 83020781
552417940 99917382 128344376
1799256062 1298096399 110644443
0 825619231 40805827
123867918 1939009093 176811732
3835793763 4085147734 52919335
300679650 1712674949 32370741
772022511 1598457235 40966304
1219970540 1639423539 73251410
3297826708 3784807923 40826594
1793993533 405918008 5262529
3056623948 3825634517 89465875
3773643896 3023631543 62149867
1909900505 1770499295 37640521
40805827 16855291 83062091
2417909007 2745316160 229032751
3611554834 2368626375 43673923
2646941758 4138067069 38485088
4047250954 2598175269 71623816
3338653302 2495321079 102854190
2685426846 3279231811 71633749
4118874770 3085781410 165769241
3028942788 3251550651 27681160
333050391 606251682 219367549
2757060595 3388519390 271882193
1293221950 1745045690 25453605
3270496163 3350865560 27330545
4284644011 3378196105 10323285
990645065 1408740842 189716393
2098965534 0 16855291

water-to-light map:
1069022530 222696536 26137468
509774651 1001927432 264687540
2799496570 4178737505 91960917
2622746937 2920297784 87218886
998047684 72317843 70974846
20975330 248834004 16650836
1516625244 2418736444 445891562
867141089 265484840 130906595
1452450963 1912658188 64174281
2891457487 2382365765 36370679
837778702 42955456 29362387
3824593525 1874523410 38134778
87390794 857485915 142625628
3874640725 2075355481 18387003
774462191 529657635 63316511
3607044420 4131300557 47436948
2288390345 3657176164 11501412
3042932184 1976832469 64291113
2947540744 4035909117 95391440
87126518 42691180 264276
1425451487 3765808292 26999476
3893027728 3579750125 77426039
2203098143 3680516090 85292202
3992272144 3274151418 290856638
2927828166 4033389105 2520012
278763375 464023676 18702895
3114215141 1527053163 335557825
3654481368 3014508514 170112157
2930348178 3565008056 14742069
230016422 482726571 46931064
3970453767 4270698422 21818377
4283128782 3668677576 11838514
1223923792 0 42691180
3505442744 1425451487 101601676
2709965823 3184620671 89530747
1174563845 737650286 49359947
3862728303 1862610988 11912422
37626166 787010233 49500352
